track_id,genre,mf_prompt,qwen_summary,track_path
102181,rock,"This track is an aggressive, high‑energy Nu‑Metal piece that blends heavy, distorted electric guitars with a driving bass line and punchy acoustic drums. The male vocalist delivers a raw, shouted performance in Russian, giving the song a confrontational, rebellious edge. The production is deliberately loud and heavily compressed, emphasizing the gritty guitar tones and the forceful drum attack. The overall mood is intense and defiant, capturing the spirit of early‑2000s Nu‑Metal while injecting a distinctly Russian lyrical perspective.","A aggressive, high-energy Nu-Metal track with a raw, shouted Russian vocal delivery, intense and defiant mood, driving bass line, punchy acoustic drums, distorted electric guitars, and a tempo of around 130 BPM, featuring heavy compression and gritty guitar tones.",fma/selected_samples/102181_rock.wav
108416,electronic,"This track is a high‑energy Tech House piece that blends the driving pulse of classic house with the sleek, minimalistic aesthetics of modern tech‑house production.  The arrangement is built around a punchy electronic drum kit—tight kick, crisp snare, and rapid hi‑hats—paired with a deep, resonant synth bass that anchors the groove. Layered synth stabs and atmospheric pads add texture, while subtle filter sweeps and automated effects keep the momentum fluid and club‑ready. The mix is polished and high‑fidelity, with a wide stereo image that places percussive elements and synth layers across the field for maximum impact on large sound systems. The duration of the piece is 10.00 seconds. There are no vocal parts, so the track relies entirely on its instrumental dynamics to convey its vibe. The structure follows a typical club format: an intro that gradually introduces the drum pattern and bass, a buildup where synth elements are added and filtered, a peak section where all layers lock together for a full‑force groove, and an outro that strips elements back for a smooth transition. Dynamic shifts are achieved through layering and filtering rather than volume changes, creating a hypnotic, forward‑moving feel. Overall, the mood is energetic and hypnotic, designed to keep dancers moving on the floor. Its polished production and tight rhythmic focus place it squarely within the contemporary tech‑house scene of the 2020s, where DJs favor tracks that deliver relentless drive while maintaining a sleek, club‑compatible aesthetic.","A high-energy Tech House track with an energetic and hypnotic mood, featuring a driving melody supported by a deep synth bass, a tempo of 128 BPM, and main instruments including a punchy electronic drum kit, layered synth stabs, and atmospheric pads.",fma/selected_samples/108416_electronic.wav
108418,electronic,"This track is a high‑energy Chiptune piece rooted in the 8‑bit video‑game music sub‑genre, blending classic arcade‑style synthesis with a modern lo‑fi aesthetic.  It runs at 130.43 BPM in a steady 4/4 meter and is centered in A minor. The production is deliberately lo‑fi, featuring a bright square‑wave lead that carries the main melody, a punchy synth bass that drives the rhythm, and simple electronic drum hits that keep the pulse tight. The mix is clean and balanced, with the lead synth placed front‑center and the bass and drums panned modestly to create a modest stereo spread. The duration of the piece is 10.00 seconds. There are no vocal parts, so the track relies entirely on its instrumental voice. The melodic content is repetitive and catchy, built around a looping progression that moves from a neutral “no‑chord” section into an E major chord, then to an A minor chord, and returns to silence, reinforcing the nostalgic, arcade‑like feel. Structurally, the piece follows a straightforward loop: an introductory synth arpeggio leads into the main melodic loop, which repeats with subtle variations in filter resonance and drum intensity, culminating in a brief outro that fades the lead synth while the bass holds the final chord. The dynamic arc is modest, with the energy maintained throughout, reflecting the typical loop‑based composition of classic game soundtracks. Overall, the mood is playful and nostalgic, evoking the sound of early 1980s arcade cabinets while employing contemporary production clarity. It situates itself within the broader chiptune revival movement, celebrating retro gaming culture through crisp 8‑bit timbres and a driving, dance‑able tempo.","A high-energy chiptune track in A minor with a playful and nostalgic mood, featuring a bright square-wave lead melody, punchy synth bass, and electronic drums at 130.43 BPM in 4/4 time, blending retro 8-bit synthesis with a modern lo-fi aesthetic.",fma/selected_samples/108418_electronic.wav
108421,electronic,"This track is a smooth, laid‑back instrumental piece that blends classic funk with soul‑jazz sensibilities, creating a relaxed, groove‑driven vibe. The production is polished and high‑fidelity, featuring a warm, melodic electric bass that carries the main groove, a clean electric guitar that adds subtle rhythmic accents, and a tight drum kit that locks in a steady, mid‑tempo pocket. The mix emphasizes a wide stereo field, allowing each instrument to breathe while maintaining a cohesive, warm soundstage. The duration of the piece is 10.09 seconds. The arrangement is built around a simple yet effective chord progression that cycles through D minor, G major, and D minor, with occasional “no‑chord” sections that give the music space to breathe. This progression reinforces the track’s mellow, soulful character, with the minor tonality providing a slightly introspective edge that resolves gently into the brighter G major chord. Structurally, the piece unfolds in a classic instrumental format: an opening bass‑driven intro establishes the groove, followed by a full‑band entry where the guitar and drums join in, reinforcing the main theme. The middle section expands the groove with subtle variations in bass phrasing and drum fills, before returning to the core motif for a concise outro that fades out on the warm bass tone. Dynamic shifts are minimal but effective, relying on slight changes in instrumentation density and subtle filter sweeps to maintain interest without breaking the relaxed atmosphere. Overall, the track exudes a sophisticated, lounge‑ready mood, perfect for background listening or a chilled‑out setting. Its blend of funk rhythm, soul‑jazz harmony, and immaculate production places it squarely within the contemporary instrumental groove tradition, echoing the smooth vibes of late‑1970s funk‑jazz while sounding fresh and modern.","A contemporary instrumental groove track with a relaxed, mellow mood, featuring a smooth melody, mid-tempo (around 80 BPM) rhythm, and a warm, soulful chord progression in D minor and G major, supported by a melodic electric bass, clean electric guitar, and tight drum kit.",fma/selected_samples/108421_electronic.wav
111823,electronic,"This track is a melancholic, ethereal Ambient Pop piece that blends dreamy synth pads with a gentle acoustic guitar and a deep, sustained synth bass. The production is spacious and atmospheric, featuring a wide stereo field that lets the layered male vocals float above the mix. The vocals are soft, breathy, and heavily reverberated, creating a sense of intimacy and introspection. The song moves at a slow, steady pace, with a subtle, understated rhythm that supports the emotive melody without drawing attention away from the vocals. The overall mood is wistful and reflective, evoking a sense of longing and nostalgia. The track’s use of ambient textures and pop sensibility places it firmly within the contemporary Ambient Pop movement, while its delicate production and emotive vocal performance give it a timeless, cinematic quality.","A melancholic, ethereal Ambient Pop track with a slow, steady tempo of around 60 BPM, featuring a soft, breathy melody supported by gentle acoustic guitar, deep synth bass, and layered male vocals, creating a wistful and reflective mood.",fma/selected_samples/111823_electronic.wav
111825,electronic,"This track is a dark, atmospheric piece of Dark Ambient / Drone music, blending deep, sustained synth drones with subtle, evolving textures to create an immersive, unsettling soundscape.  The production is high‑fidelity and spacious, employing a wide stereo field that lets the low‑frequency drones and shimmering high‑frequency layers breathe, while the overall mix remains deliberately sparse and minimalistic. The duration of the piece is 10.00 seconds. Instrumentation centers on layered analog‑style synthesizers that generate long‑lasting, resonant drones, complemented by faint, processed field recordings and occasional metallic resonances that add a tactile, almost tactile edge. The sound design emphasizes gradual timbral shifts, slow filter sweeps, and delicate modulation, giving the piece a sense of slow, organic movement despite its static harmonic foundation. No percussion or rhythmic elements are present, reinforcing the track’s timeless, floating quality. There are no vocals, so the focus remains entirely on the instrumental texture. The absence of lyrical content reinforces the contemplative, introspective mood, inviting listeners to project their own narratives onto the evolving drones. Structurally, the composition unfolds as a continuous, evolving arc rather than discrete sections. It begins with a sparse introductory drone that slowly introduces additional layers, building a subtle tension that persists throughout. As the piece progresses, new harmonic overtones and timbral nuances are introduced, creating a gradual rise in intensity before gently receding, leading to a quiet, unresolved finale that leaves the atmosphere open‑ended. Overall, the track conveys a mysterious, contemplative aesthetic, evoking feelings of isolation and introspection. Its minimalist, high‑resolution production places it within the contemporary Dark Ambient and Drone traditions, where the emphasis is on texture, space, and the emotional resonance of sustained sound rather than melody or rhythm.","A dark ambient/drone track with a contemplative and unsettling mood, featuring a slow, evolving melody built on sustained synth drones and subtle textures, performed at a minimal tempo (around 40 BPM), using layered analog synthesizers, processed field recordings, and metallic resonances, creating an immersive, sparse, and emotionally resonant soundscape.",fma/selected_samples/111825_electronic.wav
112316,rock,"This track is an instrumental rock piece that leans toward a hard‑rock/metal‑infused style, built around a single, heavily distorted electric‑guitar riff.  The genre is rock, with a sub‑genre of instrumental hard‑rock, and the mood is aggressive, intense, and relentlessly driving. The duration of the piece is 9.99 seconds. The instrumentation is centered on a single electric guitar that delivers a thick, saturated tone with high‑gain distortion, employing a repetitive, riff‑based motif that dominates the arrangement. The production is raw and direct, emphasizing the guitar’s power and sustain while keeping the mix tight and focused; there is minimal additional layering, allowing the guitar’s attack and sustain to cut through the soundstage. Because the piece is instrumental, there are no vocal parts to describe. Likewise, there are no lyrics or lyrical themes to reference. Structurally, the composition consists of a continuous loop of the main riff, with no distinct sections such as verses, choruses, or bridges. The dynamics remain consistently high throughout, creating a relentless, high‑energy flow that sustains the track’s aggressive character from start to finish. Overall, the track captures the quintessential hard‑rock aesthetic of raw power and unyielding intensity, situating itself within the tradition of instrumental rock that prioritizes guitar virtuosity and sheer sonic force.","A hard-rock instrumental track with an aggressive, intense mood, driven by a heavy, high-gain distorted electric guitar riff at a fast tempo of around 120 BPM, featuring a thick, saturated tone and minimal additional instrumentation, creating a relentless and powerful sonic experience.",fma/selected_samples/112316_rock.wav
112317,rock,"This track is an aggressive, high‑energy instrumental that blends the raw power of Metalcore with the melodic sensibilities of Melodic Death Metal. The production is deliberately unpolished, giving the song a gritty, live‑room feel. The instrumentation centers on heavily distorted electric guitars that deliver fast, intricate riffs and soaring melodic leads, while a thick, distorted bass guitar underpins the low end with a driving, punchy presence. The drum work is relentless and precise, featuring rapid double‑bass patterns and tight, punchy snare hits that propel the music forward with relentless intensity. The overall mood is fierce and intense, capturing the visceral energy of a live metal performance. The song’s structure is built around a series of aggressive riff‑driven sections that build tension, punctuated by melodic lead passages that provide brief moments of release before the onslaught resumes. The track’s raw, unrefined production and aggressive performance make it a standout example of modern metalcore‑death‑metal fusion.","A metalcore-death metal track with an aggressive, high-energy mood, featuring a fast, intricate melody with a tempo of around 160 BPM, driven by distorted guitars, a thick bass, and relentless drums.",fma/selected_samples/112317_rock.wav
112375,electronic,"This track is a high‑energy Hardstyle piece, blending the genre’s signature pounding kick with aggressive, distorted synth leads and a driving electronic bassline.  It sits at ≈ 142.86 BPM in 4/4 time and is rooted in F♯ major, though the harmonic content is minimal, revolving around a simple progression of F♯ – Bmaj7 – F♯ with occasional “no‑chord” sections that emphasize the relentless rhythmic thrust. The production is polished and loud, featuring a wide stereo field, crisp side‑chain‑compressed drums, and heavily processed synths that cut through the mix with a bright, metallic timbre. The duration of the piece is 10.00 seconds. Vocals are limited to short, heavily processed samples used as rhythmic accents rather than melodic content; they are pitch‑shifted, distorted, and drenched in reverb, contributing to the track’s aggressive texture without delivering discernible lyrics. Structurally, the composition follows a classic Hardstyle layout: an atmospheric intro builds tension with filtered synth sweeps and rising risers, leading into a pre‑drop buildup that intensifies the energy before the main drop unleashes the signature hard‑hitting kick and distorted lead melody. A brief breakdown strips back to minimal percussion and the processed vocal stabs, then the arrangement ramps up again for a second, more forceful drop, before closing with a short outro that fades the synths and kick, leaving a lingering sense of power. Overall, the mood is intense, driving, and club‑ready, embodying the modern Hardstyle aesthetic of maximal impact and relentless momentum that has defined the genre’s evolution in the 2010s‑2020s.","A high-energy Hardstyle track with an intense, driving mood, featuring a fast tempo of ≈142.86 BPM in 4/4 time, rooted in F♯ major with a simple F♯–Bmaj7–F♯ progression, supported by pounding kick drums, aggressive distorted synths, and a driving electronic bassline, utilizing polished, loud production with a wide stereo field and heavy processing to create a maximalist, club-ready sound.",fma/selected_samples/112375_electronic.wav
112376,electronic,"This track is a high‑energy Hardstyle piece, leaning toward the raw‑hardstyle sub‑genre with a hard‑hitting, aggressive aesthetic. It runs at ≈130.43 BPM in a steady 4/4 meter and is rooted in A minor. The production is built around a heavily distorted, punchy kick drum that dominates the low end, a driving synth bass that underpins the rhythm, and bright, high‑pitched synth leads that cut through the mix with a sharp, melodic edge. The overall sound is loud, heavily compressed, and designed for maximum impact on the dancefloor, with a wide stereo image that emphasizes the kick’s power and the synth’s sparkle. The duration of the piece is 10.00 seconds. There are no vocal parts, so the track relies entirely on its instrumental intensity. The harmonic content is minimal, revolving around a simple progression that includes a brief F major chord, a D minor chord, and an A minor chord, interspersed with sections of “no chord” (N) that create a sense of open, driving space. Structurally, the piece follows a classic Hardstyle layout: an intro that establishes the pounding kick and bass, a build‑up that layers the high‑pitched synth melody, a drop where the full distorted kick and synth lead explode together, a short breakdown that strips back to the bass and synth motif, and a final climax that reinforces the main theme before ending abruptly. Dynamic tension is maintained throughout by the relentless kick and the periodic removal of harmonic elements, keeping the energy constantly high. Overall, the track delivers an intense, adrenaline‑fueled mood typical of early‑2020s Hardstyle, emphasizing raw power, aggressive synth work, and a relentless rhythmic drive that makes it ideal for peak‑time festival sets.","A high-energy Hardstyle track with a dark, aggressive mood, featuring a driving melody in A minor, a tempo of ≈130.43 BPM in 4/4 time, rooted in A minor with a progression of F major, D minor, and A minor chords, and main instruments including a distorted kick drum, punchy synth bass, and bright high-pitched synth leads.",fma/selected_samples/112376_electronic.wav
